"Region","Risk_Type","Year","Risk_Score","best_horizon","future_shocks","past_shocks","z_risk","z_future","z_past","predictive_capacity_component","past_component","anticipatory_skill_component","predictive_capacity_component_roll3","anticipatory_skill_component_roll3"
"LMC","Tech",2015,3.363143631,4,2.0926080537571,2.38490886126603,0.344327132418955,-0.473787172919513,-0.51665190439349,-0.16313777862826,-0.177897268698603,0.014759490070343,-0.0957116323146824,0.0092717469270716
"LMC","Tech",2016,3.359953704,4,1.95974405034395,2.19225605631696,0.337681325587821,-0.807734078942077,-0.767149797432758,-0.272756714499619,-0.259052160521522,-0.0137045539780963,-0.303439067593679,-0.0315607721806253
"LMC","Tech",2017,3.45826137,4,1.93317124966132,2.24540165768222,0.542492833266743,-0.87452346014659,-0.698046930387443,-0.474422709653159,-0.378685457019037,-0.0957372526341226,-0.398201771419799,-0.0384517418646811
"LMC","Tech",2018,3.438842975,4,1.92652804949066,2.10589445409842,0.502037079219497,-0.891220805447718,-0.879441956381395,-0.44742589010662,-0.441512471124796,-0.00591341898182451,-0.431528146721673,0.00313990295206977
"LMC","Tech",2019,3.456839309,4,2.00624645153855,2.0926080537571,0.539530150199673,-0.690852661834179,-0.896717673142724,-0.372735840405239,-0.483806220877395,0.111070380472156,-0.419917196949276,0.021884074629411
"LMC","Tech",2020,3.377431907,4,1.81359364658949,1.95974405034395,0.374094936586869,-1.1750756755669,-1.06947484075601,-0.43958986033597,-0.400085122733872,-0.0395047376020988,-0.355376966996604,0.0440563938781701
"LMC","Tech",2021,3.334563346,4,1.92652804949066,1.93317124966132,0.284783746852836,-0.891220805447718,-1.10402627427867,-0.253805200248604,-0.314408739013056,0.0606035387644527,NA,NA
"LMC","Terror",2006,2.5,1,0.559353791336791,0.458245283231862,-1.35234523481428,-1.40372759910717,-1.37425449016095,1.89832432962987,1.85846651119129,0.0398578184385778,NA,NA
"LMC","Terror",2007,3.424273283,1,0.832941519150128,0.559353791336791,0.381845852374659,-1.08354857426635,-1.26029523160575,-0.413748528930079,-0.481238506956216,0.0674899780261365,0.642917742356277,0.00755266159961199
"LMC","Terror",2008,2.924657534,1,1.07565858202386,0.832941519150128,-0.555570813097675,-0.799497410406528,-0.95193488492697,0.44417742636904,0.528867238034919,-0.0846898116658784,0.504259223651699,0.0793037957495832
"LMC","Terror",2009,2.256562622,1,1.05866555545161,1.07565858202386,-1.80910076262309,-0.819384306359374,-0.678368821672608,1.48234877351614,1.22723755262764,0.255111220888492,1.05150117586934,0.0717374765563493
"LMC","Terror",2010,2.316697152,1,1.14023208299844,1.05866555545161,-1.6962718321797,-0.723927205785713,-0.697521638236508,1.22797732772286,1.18318630727642,0.0447910204464348,0.870102921886157,0.168981483114812
"LMC","Terror",2011,3.491,1,1.59026407005371,1.14023208299844,0.507043540144218,-0.197255911301174,-0.605588118729791,-0.100017335580521,-0.307059543590031,0.207042208009509,0.528823006217205,0.259816531174509
