"Region","Risk_Type","Year","horizon","Risk_Score","future_shocks","past_shocks","future_window_years","past_window_years"
"Global","Diseases",2017,5,3.214162349,2.05128936064314,0.591554400683395,6,6
"Global","Diseases",2018,1,3.035741371,0.880947920442178,0.638368058291433,2,2
"Global","Diseases",2018,2,3.035741371,1.68103588683411,0.672414354733643,3,3
"Global","Diseases",2018,3,3.035741371,2.1385329952763,0.686245662663291,4,4
"Global","Diseases",2018,4,3.035741371,2.31599931548132,0.651135419457262,5,5
"Global","Diseases",2018,5,3.035741371,2.31599931548132,0.612833335959776,5,6
"Global","Diseases",2019,1,3.067729084,2.24705556518585,0.880947920442178,2,2
"Global","Diseases",2019,2,3.067729084,2.66837848365819,0.829878475778863,3,3
"Global","Diseases",2019,3,3.067729084,2.75775001181899,0.807535593738663,4,4
"Global","Diseases",2019,4,3.067729084,2.75775001181899,0.791576392281377,4,5
"Global","Diseases",2019,5,3.067729084,2.75775001181899,0.744762734673339,4,6
"Global","Diseases",2020,1,2.848249027,3.39611807011043,2.24705556518585,2,2
"Global","Diseases",2020,2,2.848249027,3.27270024550741,1.68103588683411,3,3
"Global","Diseases",2020,3,2.848249027,3.27270024550741,1.44271181173864,3,4
"Global","Diseases",2020,4,2.848249027,3.27270024550741,1.30227083891452,3,5
"Global","Diseases",2020,5,2.848249027,3.27270024550741,1.20651563017081,3,6
"Global","Diseases",2021,1,3.793357934,3.26844445845214,3.39611807011043,2,2
"Global","Diseases",2021,2,3.793357934,3.26844445845214,2.66837848365819,2,3
"Global","Diseases",2021,3,3.793357934,3.26844445845214,2.1385329952763,2,4
"Global","Diseases",2021,4,3.793357934,3.26844445845214,1.85637431351149,2,5
"Global","Diseases",2021,5,3.793357934,3.26844445845214,1.67039641919592,2,6
"Global","Food",2006,1,2.5,3.92422383539476,3.4714287774646,2,2
"Global","Food",2006,2,2.5,3.32049709148788,2.71677034758099,3,3
"Global","Food",2006,3,2.5,3.32049709148788,2.86770203355771,4,4
"Global","Food",2006,4,2.5,3.07900639392512,2.77714302197168,5,5
"Global","Food",2006,5,2.5,2.96832315754219,2.86770203355771,6,6
"Global","Food",2007,1,3.322440289,3.01863371953443,3.92422383539476,2,2
"Global","Food",2007,2,3.322440289,3.11925484351891,3.62236046344132,3,3
"Global","Food",2007,3,3.322440289,2.86770203355771,3.01863371953443,4,4
"Global","Food",2007,4,3.322440289,2.77714302197168,3.07900639392512,5,5
"Global","Food",2007,5,3.322440289,2.46521753761979,2.96832315754219,6,6
"Global","Food",2008,1,3.410958904,2.71677034758099,3.01863371953443,2,2
"Global","Food",2008,2,3.410958904,2.51552809961203,3.32049709148788,3,3
"Global","Food",2008,3,3.410958904,2.49037281861591,3.24503124849951,4,4
"Global","Food",2008,4,3.410958904,2.17341627806479,2.83751569636237,5,5
"Global","Food",2008,5,3.410958904,2.46521753761979,2.91801259554995,6,6
"Global","Food",2009,1,2.725702471,2.71677034758099,2.71677034758099,2,2
"Global","Food",2009,2,2.725702471,2.61614922359651,3.11925484351891,3,3
"Global","Food",2009,3,2.725702471,2.18850944666246,3.32049709148788,4,4
"Global","Food",2009,4,2.725702471,2.53565232440892,3.26012441709719,5,5
"Global","Food",2009,5,2.725702471,2.53565232440892,2.91801259554995,5,6
"Global","Food",2010,1,3.103475307,2.26397528965082,2.71677034758099,2,2
"Global","Food",2010,2,3.103475307,1.81118023172066,2.51552809961203,3,3
