"term","real_est","std.error","statistic","p.value","Region","Risk_Type","Lag","N","mean_sim","sd_sim","q025","q975","z","signif","sig.two"
"Risk_Score",0.637298547237253,0.672186447475848,0.948097882113506,0.35915901870368,"LIC","Diseases",3,16,0.00331515413996571,0.389474373150876,-0.752440059246904,0.736480735851535,1.62779231908974,FALSE,"NONE"
"Risk_Score",0.702020619745467,0.637652210099806,1.10094595239556,0.289489558602506,"LIC","Diseases",4,16,0.00583964112054575,0.369001624917428,-0.703238161225779,0.699865648228677,1.8866610107224,TRUE,"SIM"
"Risk_Score",0.88334529391676,0.622083151983087,1.4199794530696,0.177497996099383,"LIC","Diseases",5,16,0.00447443265659509,0.26682222803235,-0.510752168818487,0.525276422279613,3.29384424881427,TRUE,"SIM"
"Risk_Score",1.33022170436738,0.779277181531966,1.70699429662796,0.115857545637082,"LIC","Food",-5,13,0.380756619808259,0.692484752593848,-0.883389159550102,1.48170676769091,1.37109890290392,FALSE,"NONE"
"Risk_Score",1.45422847301311,0.749735678829869,1.93965488648315,0.0811273097332733,"LIC","Food",-4,12,0.0422477157918641,0.810286584785841,-1.33920147997148,1.44529487755444,1.74256958430879,TRUE,"SIM"
"Risk_Score",1.4658094103746,0.820368363689816,1.78676979178201,0.107619105319719,"LIC","Food",-3,11,0.0399813394896474,0.771134248102447,-1.28697805275705,1.40205797466267,1.84900109727137,TRUE,"SIM"
"Risk_Score",1.31896103354293,0.904010427624173,1.45901086230751,0.182679906881288,"LIC","Food",-2,10,0.0239622091707069,0.730894879847523,-1.28198574416865,1.3940673963842,1.77179900978699,FALSE,"NONE"
"Risk_Score",0.913786898426713,1.01609822126772,0.899309613283879,0.398366681394256,"LIC","Food",-1,9,0.019791116620224,0.680509183956677,-1.31896799072309,1.31007828517734,1.31371596869353,FALSE,"NONE"
"Risk_Score",2.20319437741877,0.639806132351023,3.44353432394113,0.0137413248329051,"LIC","Food",1,8,-0.0241283282350567,0.745028337538,-1.35352361244787,1.51800391765542,2.98958119232642,TRUE,"BOTH"
"Risk_Score",1.91702151988292,0.685751520649691,2.795504584615,0.0313491441482054,"LIC","Food",2,8,0.00656277152202161,0.849094582898337,-1.37988633357717,1.74842958139281,2.24999521471407,TRUE,"BOTH"
"Risk_Score",1.75680840618981,0.671967303822519,2.61442542843398,0.0398830799429002,"LIC","Food",3,8,0.0235972526671947,0.768933916724879,-1.24421908926475,1.53794333601372,2.2540443539087,TRUE,"BOTH"
"Risk_Score",1.47533310279602,0.616693847905053,2.39232661037209,0.0538551496083201,"LIC","Food",4,8,0.0213646493118291,0.718037267867103,-1.17239591721023,1.3715561045502,2.0249205975104,TRUE,"SIM"
"Risk_Score",1.4724402773845,0.589626654310723,2.49724171493874,0.0467022020568286,"LIC","Food",5,8,0.0380327436329433,0.612460257144273,-1.00825788430448,1.23499915540545,2.34204181743937,TRUE,"BOTH"
"Risk_Score",0.133949680092696,0.209592981606421,0.639094301087953,0.533079288438629,"LIC","Economic",-5,16,0.36197061054343,0.0581396578190364,0.245941739151668,0.470694245604874,-3.92195171083505,TRUE,"SIM"
"Risk_Score",-0.322434712875297,0.288797094441609,-1.1164749198697,0.28301501255722,"LIC","Economic",-4,16,-0.00422426225160477,0.121899797196069,-0.234179700716122,0.237665328612245,-2.61042641532756,TRUE,"SIM"
"Risk_Score",-0.356509846290165,0.279167736534812,-1.27704530156445,0.22236063416882,"LIC","Economic",-3,16,-0.00428385653273784,0.152561521114355,-0.292075255938576,0.298801380259432,-2.30874723314676,TRUE,"SIM"
"Risk_Score",-0.32248881998262,0.379168753968957,-0.850515282725597,0.409349682908799,"LIC","Economic",-2,16,0.00490237992341079,0.432105356045947,-0.820422196881925,0.833099980056772,-0.757665220588514,FALSE,"NONE"
