"Region","Risk_Type","center_year","start_year","end_year","best_horizon","rolling_predictive_capacity","rolling_predictive_capacity_se","rolling_predictive_capacity_p","rolling_past_at_best_horizon","rolling_past_at_best_horizon_se","rolling_past_at_best_horizon_p","rolling_anticipatory_skill","n_future","n_past"
"UMC","Diseases",2007,2004,2010,1,1.06758460009675,0.925513135501836,0.332262679242795,1.52759901956015,0.754143275535395,0.135918404353168,-0.460014419463399,5,5
"UMC","Diseases",2008,2005,2011,1,0.290430239951486,0.848486903724587,0.749360460910768,0.902643474065524,0.687680934968207,0.259566957690232,-0.612213234114038,6,6
"UMC","Diseases",2009,2006,2012,1,-0.0487513819348511,0.766040370427023,0.951722192949772,0.505116066794594,0.681554609172343,0.491936334226666,-0.553867448729445,7,7
"UMC","Diseases",2010,2007,2013,5,-0.391288424607623,0.104338045446751,0.0132909984863466,0.440879545758296,0.129103231961989,0.0189417287520619,-0.832167970365919,7,7
"UMC","Diseases",2011,2008,2014,5,-0.732133296352376,0.0712949870574975,0.000150489202529957,0.427608774252935,0.250866229140772,0.149004260580784,-1.15974207060531,7,7
"UMC","Diseases",2012,2009,2015,5,-0.00916762488941084,0.492202339384524,0.985860082252968,-0.255735130007975,0.24944810864113,0.352283112496853,0.246567505118564,7,7
"UMC","Diseases",2013,2010,2016,5,0.340410884323379,1.10365888073913,0.770185424252519,-0.385728483195282,0.490408986772152,0.467172453037124,0.72613936751866,7,7
"UMC","Diseases",2014,2011,2017,5,0.708589150212873,1.49895486908634,0.65632652939689,-0.447845981184771,0.542043078115317,0.446299993051318,1.15643513139764,7,7
"UMC","Diseases",2015,2012,2018,5,0.118349769920416,1.82564260960306,0.9508242829286,-0.386460721824908,0.491664110538296,0.467449974158877,0.504810491745324,7,7
"UMC","Diseases",2016,2013,2019,5,-0.150903424395848,2.10018074580009,0.945504810784093,-0.444707481092707,0.415085918018866,0.332972735267124,0.293804056696859,7,7
"UMC","Diseases",2017,2014,2020,5,-1.14987045778788,1.90889971419935,0.573198755110146,-1.03138987589097,0.36180734757503,0.0357960040802966,-0.118480581896905,7,7
"UMC","Diseases",2018,2015,2021,1,0.686021730890835,1.66537147252251,0.697453257367134,1.66156826560534,1.24034814541107,0.238036518113638,-0.975546534714507,7,7
"UMC","Diseases",2019,2016,2022,1,0.864988281596813,1.84107376473292,0.662946910812387,1.8531239758313,1.32455875380266,0.234363680632841,-0.988135694234482,6,6
"UMC","Diseases",2020,2017,2023,1,0.693271054480333,1.95739059705317,0.746634778696347,1.82855402098361,1.53463254156062,0.319119193554222,-1.13528296650328,5,5
"UMC","Diseases",2021,2018,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UMC","Food",2006,2003,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UMC","Food",2007,2004,2010,2,0.335309265231689,0.8078337438691,0.70598757286831,-0.132953093553284,0.260077241756425,0.644453139402715,0.468262358784973,5,5
"UMC","Food",2008,2005,2011,2,-0.161334105013813,0.8062380830352,0.851158536367504,-0.211271046755243,0.217326346785526,0.386030373549525,0.0499369417414295,6,6
"UMC","Food",2009,2006,2012,2,-0.370030734329663,0.638692647765922,0.587470225954186,-0.695574994578082,0.399497166807064,0.142138517216042,0.325544260248419,7,7
"UMC","Food",2010,2007,2013,3,0.0992999010376914,0.609240105542489,0.876909293232967,-0.961319438409329,0.256104736687717,0.0132442561291634,1.06061933944702,7,7
"UMC","Food",2011,2008,2014,3,0.111498323645687,0.552455499053449,0.849903528814227,-0.781177782110393,0.570756658351499,0.22939076593683,0.89267610575608,6,7
"UMC","Food",2012,2009,2015,3,0.0498483044706867,0.534420098618841,0.931564915234658,-0.921406937790642,0.533372931613581,0.144655003305218,0.971255242261329,5,7
"UMC","Food",2013,2010,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UMC","Food",2014,2011,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UMC","Food",2015,2012,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UMC","Food",2016,2013,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UMC","Food",2017,2014,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UMC","Food",2018,2015,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UMC","Food",2019,2016,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UMC","Food",2020,2017,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UMC","Food",2021,2018,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UMC","Economic",2006,2003,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UMC","Economic",2007,2004,2010,5,-0.0408360331382084,0.0391418479867995,0.373489200488751,-0.438736401507873,0.0720400901841262,0.00889113833907802,0.397900368369664,5,5
"UMC","Economic",2008,2005,2011,5,-0.0437917225768059,0.0423866694448495,0.359904296430938,-0.420685179459651,0.167857194518822,0.0663252112084976,0.376893456882845,6,6
"UMC","Economic",2009,2006,2012,5,-0.0414598469779517,0.0392989476080896,0.339718609031712,-0.444435380305845,0.186514669969938,0.0629428373285299,0.402975533327894,7,7
"UMC","Economic",2010,2007,2013,5,-0.031617192231803,0.0496998097828544,0.552646602597897,-0.274532013735006,0.207823855944959,0.243730556374646,0.242914821503203,7,7
"UMC","Economic",2011,2008,2014,5,-0.0129395762087567,0.0974062841917794,0.89949956921987,0.101922738523227,0.226765934149702,0.671911580572122,-0.114862314731984,7,7
"UMC","Economic",2012,2009,2015,5,0.019514721530486,0.119847664173404,0.877029136140225,0.244639703039233,0.1159802851546,0.0886981814035062,-0.225124981508747,7,7
"UMC","Economic",2013,2010,2016,5,0.0659881333020997,0.197503659203325,0.751853961198911,0.155535320247525,0.0668830313553716,0.0675903871208147,-0.0895471869454256,7,7
"UMC","Economic",2014,2011,2017,1,-0.349889899275997,0.801539160790751,0.68066403712653,0.431260337481048,0.748692704925348,0.589558354170876,-0.781150236757045,7,7
"UMC","Economic",2015,2012,2018,5,0.348994179647664,1.00775758568515,0.743208490987498,0.357616102336276,0.165486002993786,0.0830814199467611,-0.00862192268861262,7,7
"UMC","Economic",2016,2013,2019,5,0.748233385873353,1.26797855585673,0.580782083168169,0.535231118876764,0.238207457774601,0.0745651825861336,0.21300226699659,7,7
"UMC","Economic",2017,2014,2020,1,0.314385784046122,2.18210169537132,0.892408682912423,2.18966480933057,1.57305339571307,0.222671219883126,-1.87527902528445,6,7
"UMC","Economic",2018,2015,2021,1,4.33983338611363,2.36560620216436,0.163924202232474,4.5740083490038,1.19100757475444,0.0184524003900377,-0.234174962890173,5,6
"UMC","Economic",2019,2016,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UMC","Economic",2020,2017,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UMC","Economic",2021,2018,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
